RG;CLUSTER;LTPOD
EXIM_ELIASEMROWO-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIBENOWO-EXIM_ELIGRESIK;JAWA TIMUR;3
EXIM_ELIBENOWO-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIBENOWO-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIBENOWO-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIKREMBANGAN-EXIM_ELIGRESIK;JAWA TIMUR;3
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIGRESIK;KOTA SURABAYA;2
EXIM_ELIPABEAN CANTIAN-EXIM_ELIPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_FITASEMROWO-EXIM_FITMANYAR;JAWA TENGAH;5
EXIM_FITASEMROWO-EXIM_FITMANYAR;KOTA SURABAYA;2
EXIM_FITBENOWO-EXIM_FITMANYAR;KOTA SURABAYA;2
EXIM_FITPABEAN CANTIAN-EXIM_FITMANYAR;KOTA SURABAYA;2
EXIM_FITPABEAN CANTIAN-EXIM_FITMANYAR;KOTA SURABAYA;2
EXIM_FITPABEAN CANTIAN-EXIM_FITMANYAR;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMASEMROWO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMASEMROWO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMASEMROWO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMASEMROWO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMASEMROWO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMBEJI;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMBEJI;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMBUDURAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMBUDURAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMDIWEK;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMDIWEK;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMDIWEK;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEDANGAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEDANGAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEDANGAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEDANGAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEDANGAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEMPOL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEMPOL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEMPOL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEMPOL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMGEMPOL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMJETIS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMJETIS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMJETIS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKARANGPILANG;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKEBOMAS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKEBOMAS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKEBOMAS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKEBOMAS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKEBOMAS;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKREMBANGAN;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMKRIAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMMENGANTI;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMMENGANTI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMNGORO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMNGORO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMPACE;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMPUNGGING;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMPUNGGING;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMREMBANG PASURUAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMRUNGKUT;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMRUNGKUT;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMRUNGKUT;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMRUNGKUT;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSEDATI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSEDATI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSIDOARJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSIDOARJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSIDOARJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSINGOSARI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSINGOSARI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSINGOSARI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSINGOSARI;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSINGOSARI;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKODONO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKOMANUNGGAL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKOMANUNGGAL;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKOREJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKOREJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMSUKOREJO;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMTAMAN;JAWA TENGAH;5
EXIM_GCMPABEAN CANTIAN-EXIM_GCMTAMAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMTAMAN;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWARU;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWARU;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWARU;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWONOAYU;JAWA TIMUR;3
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWONOAYU;KOTA SURABAYA;2
EXIM_GCMPABEAN CANTIAN-EXIM_GCMWONOAYU;KOTA SURABAYA;2
EXIM_GELGEDANGAN-EXIM_GELPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_GPJBENOWO-EXIM_GPJDRIYOREJO;JAWA TIMUR;3
EXIM_GPJBENOWO-EXIM_GPJDRIYOREJO;JAWA TIMUR;3
EXIM_GPJPABEAN CANTIAN-EXIM_GPJDRIYOREJO;KOTA SURABAYA;2
EXIM_GPJPABEAN CANTIAN-EXIM_GPJDRIYOREJO;KOTA SURABAYA;2
EXIM_GPJPABEAN CANTIAN-EXIM_GPJDRIYOREJO;KOTA SURABAYA;2
EXIM_HFIPABEAN CANTIAN-EXIM_HFIMANYAR;KOTA SURABAYA;2
EXIM_HFIPABEAN CANTIAN-EXIM_HFIMANYAR;KOTA SURABAYA;2
EXIM_INDBENOWO-EXIM_INDBEJI;JABODETABEK;6
EXIM_INDBENOWO-EXIM_INDBEJI;JABODETABEK;6
EXIM_INDBENOWO-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDBENOWO-EXIM_INDGEMPOL;KOTA SURABAYA;2
EXIM_INDBENOWO-EXIM_INDPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDBEJI;KOTA SURABAYA;2
EXIM_INDPABEAN CANTIAN-EXIM_INDPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMASEMROWO-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMASEMROWO-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMPABEAN CANTIAN-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMPABEAN CANTIAN-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMPABEAN CANTIAN-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMPABEAN CANTIAN-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISMPABEAN CANTIAN-EXIM_ISMPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSBENOWO;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSBENOWO;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ISSBUDURAN-EXIM_ISSPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_ITTBENOWO-EXIM_ITTBENOWO;JAWA TIMUR;3
EXIM_ITTBENOWO-EXIM_ITTBUDURAN;JAWA TIMUR;3
EXIM_ITTBENOWO-EXIM_ITTKRIAN;KOTA SURABAYA;2
EXIM_ITTBENOWO-EXIM_ITTMENGANTI;KOTA SURABAYA;2
EXIM_ITTBENOWO-EXIM_ITTMENGANTI;KOTA SURABAYA;2
EXIM_ITTKREMBANGAN-EXIM_ITTKRIAN;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTASEMROWO;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTASEMROWO;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTKEBOMAS;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTKREMBANGAN;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTKRIAN;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTKRIAN;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTPACE;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTSIDOARJO;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTSIDOARJO;JAWA TIMUR;3
EXIM_ITTPABEAN CANTIAN-EXIM_ITTSIDOARJO;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTSUKOREJO;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTWARU;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTWARU;KOTA SURABAYA;2
EXIM_ITTPABEAN CANTIAN-EXIM_ITTWONOAYU;JAWA TIMUR;3
EXIM_LAEASEMROWO-EXIM_LAEPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LAEBENOWO-EXIM_LAEPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LAEPABEAN CANTIAN-EXIM_LAEASEMROWO;KOTA SURABAYA;2
EXIM_LTGBENOWO-EXIM_LTGMANYAR;KOTA SURABAYA;2
EXIM_LTGBENOWO-EXIM_LTGMANYAR;KOTA SURABAYA;2
EXIM_LTGBENOWO-EXIM_LTGMANYAR;KOTA SURABAYA;2
EXIM_LTGPABEAN CANTIAN-EXIM_LTGMANYAR;JAWA TIMUR;3
EXIM_LTGPABEAN CANTIAN-EXIM_LTGMANYAR;JAWA TIMUR;3
EXIM_LTGPABEAN CANTIAN-EXIM_LTGMANYAR;JAWA TIMUR;3
EXIM_LTGPABEAN CANTIAN-EXIM_LTGMANYAR;KOTA SURABAYA;2
EXIM_LTLASEMROWO(BULK)-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLASEMROWO-EXIM_LTLASEMROWO;JAWA TIMUR;3
EXIM_LTLASEMROWO-EXIM_LTLBENOWO;JAWA TIMUR;3
EXIM_LTLBENOWO-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLGEDANGAN;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLKARANG PILANG;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLKEJAYAN;JAWA TIMUR;3
EXIM_LTLBENOWO-EXIM_LTLKRIAN;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLKRIAN;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLLAWANG;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLMANYAR;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLMANYAR;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLSIDOARJO;KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLSIDOARJO(JAPFA);KOTA SURABAYA;2
EXIM_LTLBENOWO-EXIM_LTLWRINGINANOM;JAWA TENGAH;5
EXIM_LTLDRIYOREJO(JADIMAS)-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLDRIYOREJO(JADIMAS)-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLDRIYOREJO(JADIMAS)-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLDRIYOREJO(JADIMAS)-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLDRIYOREJO-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLDRIYOREJO-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLMANYAR-EXIM_LTLPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLASEMROWO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLBUDURAN(ELODA);KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLBUDURAN(ELODA);KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLGEDANGAN;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLGEMPOL;JAWA BARAT;6
EXIM_LTLPABEAN CANTIAN-EXIM_LTLGEMPOL;JAWA BARAT;6
EXIM_LTLPABEAN CANTIAN-EXIM_LTLGUDO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-EXIM_LTLJETIS;JAWA TENGAH;5
EXIM_LTLPABEAN CANTIAN-EXIM_LTLJETIS;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLJOMBANG;BANTEN;5
EXIM_LTLPABEAN CANTIAN-EXIM_LTLKEBOMAS;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-EXIM_LTLKEBOMAS;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLKEBOMAS;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLKRIAN;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLMANYAR;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLMANYAR;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLMUNCAR;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-EXIM_LTLNGORO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-EXIM_LTLPURI;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLRUNGKUT;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLSIDOARJO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLSIDOARJO;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLSIDOARJO(JAPFA);KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLSIDOARJO(JAPFA);KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLSIDOARJO(JAPFA);KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLWONOAYU;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-EXIM_LTLWRINGINANOM;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLWRINGINANOM;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-EXIM_LTLWRINGINANOM;KOTA SURABAYA;2
EXIM_LTLPABEAN CANTIAN-LTLASEMROWO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLASEMROWO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLASEMROWO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLASEMROWO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLNGORO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLSIDOARJO;JAWA TIMUR;3
EXIM_LTLPABEAN CANTIAN-LTLWRINGINANOM;KOTA SURABAYA;2
EXIM_MALBENOWO-EXIM_MALNGORO;KOTA SURABAYA;2
EXIM_MALPABEAN CANTIAN-EXIM_MALNGORO;KOTA SURABAYA;2
EXIM_MBIBENOWO-EXIM_MBITULANGAN;JAWA TIMUR;3
EXIM_MBITULANGAN-EXIM_MBIBENOWO;JAWA TIMUR;3
EXIM_MBITULANGAN-EXIM_MBIBENOWO;JAWA TIMUR;3
EXIM_MBITULANGAN-MBIPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_MMMBENOWO-EXIM_MMMBUDURAN;KOTA SURABAYA;2
EXIM_MMMBENOWO-EXIM_MMMBUDURAN;KOTA SURABAYA;2
EXIM_MMMPABEAN CANTIAN-EXIM_MMMBUDURAN;KOTA SURABAYA;2
EXIM_MTJPABEAN CANTIAN-EXIM_MTJASEMROWO;KOTA SURABAYA;2
EXIM_MTJPABEAN CANTIAN-EXIM_MTJASEMROWO;JAWA TIMUR;3
EXIM_MUMBENOWO-EXIM_MUMTARIK;KOTA SURABAYA;2
EXIM_MUMBENOWO-EXIM_MUMTARIK;KOTA SURABAYA;2
EXIM_MUMBENOWO-EXIM_MUMTARIK;JAWA TIMUR;3
EXIM_MUMBENOWO-EXIM_MUMTARIK;KOTA SURABAYA;2
EXIM_MUMTARIK-EXIM_MUMBENOWO;KOTA SURABAYA;2
EXIM_PPTASEMROWO-EXIM_PPTBENOWO;KOTA SURABAYA;2
EXIM_PPTBENOWO-EXIM_PPTASEMROWO;KOTA SURABAYA;2
EXIM_PPTBENOWO-EXIM_PPTKEBOMAS;KOTA SURABAYA;2
EXIM_PPTBENOWO-EXIM_PPTKRIAN;KOTA SURABAYA;2
EXIM_PPTBENOWO-EXIM_PPTKRIAN;KOTA SURABAYA;2
EXIM_PPTPABEAN CANTIAN-EXIM_PPTASEMROWO;KOTA SURABAYA;2
EXIM_PPTPABEAN CANTIAN-EXIM_PPTASEMROWO;KOTA SURABAYA;2
EXIM_PPTPABEAN CANTIAN-EXIM_PPTKEBOMAS;KOTA SURABAYA;2
EXIM_PPTPABEAN CANTIAN-EXIM_PPTSINGOSARI;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNBENOWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNBENOWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNBENOWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNBENOWO;KOTA SURABAYA;2
EXIM_RKNASEMROWO-EXIM_RKNPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_RKNBENOWO-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNMANYAR-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNMANYAR-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNMANYAR-EXIM_RKNPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_RKNPABEAN CANTIAN-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNPABEAN CANTIAN-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNPABEAN CANTIAN-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RKNPABEAN CANTIAN-EXIM_RKNASEMROWO;KOTA SURABAYA;2
EXIM_RPTPUNGGING-EXIM_RPTASEMROWO;JAWA TIMUR;3
EXIM_RPTPUNGGING-EXIM_RPTASEMROWO;JAWA TIMUR;3
EXIM_RPTPUNGGING-EXIM_RPTASEMROWO;KOTA SURABAYA;2
EXIM_SCIPABEAN CANTIAN-EXIM_SCIKEBOMAS;KOTA SURABAYA;2
EXIM_SKYPABEAN CANTIAN-EXIM_SKYGRESIK;JAWA TIMUR;3
EXIM_SMRPABEAN CANTIAN-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;JAWA TIMUR;3
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMRRUNGKUT-EXIM_SMRPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_SMTPABEAN CANTIAN-EXIM_SMTTANDES;KOTA SURABAYA;2
EXIM_SSKPABEAN CANTIAN-EXIM_SSKDRIYOREJO;JAWA TIMUR;3
EXIM_SSKPABEAN CANTIAN-EXIM_SSKTAMAN;JAWA TENGAH;5
EXIM_TIUGEMPOL-EXIM_TIUPABEAN CANTIAN;KOTA SURABAYA;2
EXIM_TIVASEMROWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVASEMROWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVASEMROWO-EXIM_TIVKERAMBITAN;KOTA SURABAYA;2
EXIM_TIVBENOWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVBENOWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVBENOWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVBENOWO-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVGRESIK-EXIM_TIVASEMROWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVASEMROWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TIVPABEAN CANTIAN-EXIM_TIVBENOWO;KOTA SURABAYA;2
EXIM_TMIASEMROWO-EXIM_TMIMENGANTI;JAWA TIMUR;3
EXIM_TMIBENOWO-EXIM_TMIMENGANTI;KOTA SURABAYA;2
EXIM_TMIBENOWO-EXIM_TMIMENGANTI;KOTA SURABAYA;2
EXIM_TMIPABEAN CANTIAN-EXIM_TMIMENGANTI;KOTA SURABAYA;2
EXIM_TMIPABEAN CANTIAN-EXIM_TMIMENGANTI;KOTA SURABAYA;2
EXIM_TMIPABEAN CANTIAN-EXIM_TMIMENGANTI;KOTA SURABAYA;2
EXIM_USDASEMROWO-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDASEMROWO-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
