"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58794582,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","12/01/2022 17:07","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 17:34","40531889","31/12/2021 07:36"
58794582,"BAHANA PRESTASI","121,250.00","FLAT","121,250.00","12/01/2022 17:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 17:34","40531889","31/12/2021 07:36"
58795303,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 16:57","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41127628","31/12/2021 10:56"
58795303,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:57","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41127628","31/12/2021 10:56"
58795303,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:57","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","41127628","31/12/2021 10:56"
58797000,"BAHANA PRESTASI","30,000.00","FLAT","30,000.00","03/01/2022 08:49","SURABAYA LOG PACK","TMB_BONGKAR","0027","03/01/2022 13:04","2100418444-1","30/12/2021 16:34"
58797009,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 15:58","SURABAYA LOG PACK","TMB_BONGKAR","0027","04/01/2022 08:41","2100418444","30/12/2021 17:11"
58797049,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 15:37","SURABAYA LOG PACK","TMB_BONGKAR","0027","04/01/2022 08:41","2100418431","30/12/2021 16:33"
58798184,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:41","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","41130185","31/12/2021 10:42"
58798184,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:41","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41130185","31/12/2021 10:42"
58798184,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 16:41","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41130185","31/12/2021 10:42"
58798184,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 16:41","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41130185","31/12/2021 10:42"
58799105,"BAHANA PRESTASI","640,000.00","FLAT","640,000.00","04/01/2022 12:45","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","04/01/2022 12:56","S21123001109","31/12/2021 10:23"
58799107,"BAHANA PRESTASI","768,000.00","FLAT","768,000.00","03/01/2022 10:35","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21123001110","31/12/2021 10:24"
58799159,"BAHANA PRESTASI","500,000.00","FLAT","500,000.00","03/01/2022 10:33","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21123001111","31/12/2021 10:22"
58799186,"BAHANA PRESTASI","166,400.00","FLAT","166,400.00","03/01/2022 10:36","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21123001083","31/12/2021 10:39"
58801945,"BAHANA PRESTASI","162,000.00","FLAT","162,000.00","03/01/2022 10:54","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21123001086,S21123001087,S21123001088,S21123001085,S21123001084","31/12/2021 10:25"
58801947,"BAHANA PRESTASI","350,000.00","FLAT","350,000.00","12/01/2022 17:58","SURABAYA LOG PACK","TMB_MULTIDROP","0027","18/01/2022 23:28","GD3221691306/0080140670","18/01/2022 10:00"
