Lean ID;Current Requested Charge Amount;Charge Requested
58584795;100000;TMB_RAPIDTEST
58584795;100000;TMB_KOMISI SUPIR
58584795;100000;TMB_TOLL
58584800;100000;TMB_KOMISI SUPIR
58584817;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58586645;100000;TMB_BONGKAR
58586649;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58590780;100000;TMB_TOLL
58593876;100000;TMB_KOMISI SUPIR
58593876;100000;TMB_RAPIDTEST
58593884;100000;TMB_MULTIDROP
58593884;100000;TMB_TOLL
58595890;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58595923;100000;TMB_RAPIDTEST
58595923;100000;TMB_KOMISI SUPIR
58606309;100000;TMB_KOMISI SUPIR
58606309;100000;TMB_RAPIDTEST
58606325;100000;TMB_KOMISI SUPIR
58606331;100000;TMB_KOMISI SUPIR
58608543;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58608725;100000;TMB_MULTIDROP
58608725;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58608725;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58608791;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58608791;100000;TMB_MULTIDROP
58610600;100000;TMB_RAPIDTEST
58610600;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58610740;100000;TMB_RAPIDTEST
58610848;100000;TMB_KOMISI SUPIR
58610848;100000;TMB_RAPIDTEST
58610881;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58616511;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58616511;100000;TMB_KOMISI SUPIR
58618456;100000;TMB_MULTIDROP
58618771;100000;TMB_KOMISI SUPIR
58618868;100000;TMB_RAPIDTEST
58618868;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58630665;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58633838;100000;TMB_MULTIDROP
58635656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58636254;100000;TMB_BONGKAR
