"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58853235,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","18/01/2022 17:10","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","40538335","07/01/2022 18:18"
58853235,"BAHANA PRESTASI","900,000.00","FLAT","900,000.00","18/01/2022 17:10","SURABAYA LOG PACK","TMB_BONGKAR","0027","18/01/2022 23:28","40538335","07/01/2022 18:18"
58853239,"BAHANA PRESTASI","92,500.00","FLAT","92,500.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368659","11/01/2022 17:20"
58853240,"BAHANA PRESTASI","10,000.00","FLAT","10,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368650","11/01/2022 17:22"
58853244,"BAHANA PRESTASI","64,000.00","FLAT","64,000.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368662","11/01/2022 17:21"
58853245,"BAHANA PRESTASI","25,500.00","FLAT","25,500.00","11/01/2022 19:02","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","12/01/2022 11:03","1000368663","11/01/2022 17:21"
58853264,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","17/01/2022 14:10","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 15:56","40543572","07/01/2022 18:32"
58853264,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","17/01/2022 14:10","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 15:56","40543572","07/01/2022 18:32"
58853264,"BAHANA PRESTASI","650,000.00","FLAT","650,000.00","17/01/2022 14:10","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 15:56","40543572","07/01/2022 18:32"
58854035,"BAHANA PRESTASI","550,000.00","FLAT","550,000.00","14/01/2022 16:35","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","41136639","18/01/2022 10:01"
58854035,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","14/01/2022 16:35","SURABAYA LOG PACK","TMB_BONGKAR","0027","18/01/2022 23:28","41136639","18/01/2022 10:01"
58854045,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","14/01/2022 16:31","SURABAYA LOG PACK","TMB_BONGKAR","0027","18/01/2022 23:28","41139690","18/01/2022 10:03"
58854045,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","14/01/2022 16:31","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","41139690","18/01/2022 10:03"
58854081,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","24/01/2022 14:15","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","05/02/2022 11:47","41142678","04/02/2022 14:24"
58854081,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","24/01/2022 14:15","SURABAYA LOG PACK","TMB_BONGKAR","0027","05/02/2022 11:47","41142678","04/02/2022 14:24"
58854096,"BAHANA PRESTASI","350,000.00","FLAT","350,000.00","14/01/2022 16:43","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","41144347","18/01/2022 10:04"
58854096,"BAHANA PRESTASI","260,000.00","FLAT","260,000.00","14/01/2022 16:43","SURABAYA LOG PACK","TMB_BONGKAR","0027","18/01/2022 23:28","41144347","18/01/2022 10:04"
58854102,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 17:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:56","41150067","10/01/2022 17:04"
58854105,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","14/01/2022 16:39","SURABAYA LOG PACK","TMB_BONGKAR","0027","05/02/2022 11:47","41151695","04/02/2022 14:23"
58854105,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","14/01/2022 16:39","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","05/02/2022 11:47","41151695","04/02/2022 14:23"
58854108,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 12:42","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:56","SUB/22/01/0032","07/01/2022 18:34"
58854114,"BAHANA PRESTASI","0.00","FLAT","0.00","04/02/2022 14:01","SURABAYA LOG PACK","TMB_BONGKAR","0027","07/02/2022 14:52","41152158","07/02/2022 14:17"
58854114,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","04/02/2022 14:01","SURABAYA LOG PACK","TMB_BONGKAR","0027","02/02/2022 21:59","41152158","02/02/2022 16:20"
58854117,"BAHANA PRESTASI","400,000.00","FLAT","400,000.00","14/01/2022 16:59","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","41153743","18/01/2022 10:06"
