"TMS ID","Shipment Reference Number","Carrier Name","Charge Code Group","Charge Rate","Rate Basis","Rate","Closed Date","AP Vendor Code","Load Group","Order Groups","Shipper Load Number","First Pick Due Date","First Pick Name","Last Drop City","Last Drop Name","Load Status","Mode","Number of Stops","Pieces","Rate Change Carrier Comment","Rate Change Request Date","Trailer Description","Weight (kg)","Charge Description","Charge Code Category","Carrier Reference","Location Name","Payable Currency","Rate Change Approval Date"
58330433,"1000352788","BAHANA PRESTASI","OTHER CHARGES","172,200.00","FLAT","172,200.00","09/11/2021 10:35","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58330433","08/11/2021 12:00","NLSBUDURAN","DUDUK SAMPEYAN","NLSDUDUK SAMPEYAN(IDM_GRESIK)","Completed","TL",2,18," ","08/11/2021 16:00","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
58330434,"1000352790,1000352772","BAHANA PRESTASI","OTHER CHARGES","57,500.00","FLAT","57,500.00","09/11/2021 10:35","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58330434","08/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(IDM_SURABAYA)","Completed","TL",3,36," ","08/11/2021 16:07","CDE_CHILLER","36.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
58330435,"1000352792","BAHANA PRESTASI","OTHER CHARGES","89,500.00","FLAT","89,500.00","09/11/2021 16:05","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58330435","08/11/2021 12:00","NLSBUDURAN","SUKUN","NLSSUKUN(SAT_MALANG)","Completed","TL",2,18," ","08/11/2021 15:54","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
58330438,"1000352793,1000352795","BAHANA PRESTASI","OTHER CHARGES","170,000.00","FLAT","170,000.00","09/11/2021 10:35","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58330438","08/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(SAT_SIDOARJO)","Completed","TL",3,36," ","08/11/2021 16:03","CDE_CHILLER","36.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
58333873,"S21110800156,S21110800160,S21110800159,S21110800158,S21110800157","BAHANA PRESTASI","OTHER CHARGES","175,200.00","FLAT","175,200.00","10/11/2021 15:24","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58333873","08/11/2021 20:00","TIVPANDAAN PETUNG","KALIWATES","TIVKALIWATES","Completed","TL",2,438," ","09/11/2021 13:09","CDD_BOX","198.67","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58333877,"S21110800154,S21110800153,S21110800155","BAHANA PRESTASI","OTHER CHARGES","61,600.00","FLAT","61,600.00","10/11/2021 15:15","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58333877","08/11/2021 20:00","TIVPANDAAN PETUNG","SUMBER SARI","TIVSUMBER SARI","Completed","TL",2,157," ","09/11/2021 13:10","CDD_BOX","71.21","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58333886,"S21110800079","BAHANA PRESTASI","OTHER CHARGES","512,000.00","FLAT","512,000.00","10/11/2021 15:46","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58333886","08/11/2021 20:00","TIVPANDAAN","SINGOSARI","TIVSINGOSARI","Completed","TL",2,1280," ","09/11/2021 13:11","TRONTON_WB","1,280.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58333890,"S21110800080","BAHANA PRESTASI","OTHER CHARGES","520,000.00","FLAT","520,000.00","10/11/2021 15:32","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58333890","08/11/2021 20:00","TIVPANDAAN","GEDANGAN","TIVGEDANGAN","Completed","TL",2,1280," ","09/11/2021 13:11","TRONTON_WB","1,280.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58334109,"2100413319,2100413271,2100413299","BAHANA PRESTASI","OTHER CHARGES","45,000.00","FLAT","45,000.00","09/11/2021 17:34","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58334109","08/11/2021 15:00","LTLASEMROWO","SIDOARJO","LTLSIDOARJO","Completed","TL",2,2030," ","09/11/2021 09:47","CDE_BOX","2,030.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
58334145,"2100412100","BAHANA PRESTASI","OTHER CHARGES","20,000.00","FLAT","20,000.00","09/11/2021 17:41","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58334145","08/11/2021 15:00","LTLASEMROWO","JETIS","LTLJETIS","Completed","TL",2,1000," ","09/11/2021 09:51","L300_BOX","1,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","09/11/2021 22:09"
