Reference ;Name;Status;Address 1;Address 2;Address 3;City;State;Postal Code;Country;Time Zone;Parent Customer;Default Freight Terms;Freight Billable Party;Supports Billable Rating?;Supports Manual Billable Rate?;Billable Methods;Default Billable Method;Default Trans. Currency;Bill Canadian Taxes?;Bill Value Added Taxes?;Supports Billable Invoicing?;Requires POD?;Shipment Consolidation;Geography Consolidation
CMLSUKOMANUNGGAL;CMLSUKOMANUNGGAL;ENABLED;SUKOMANUNGGAL;SUKOMANUNGGAL;SURABAYA;SUKOMANUNGGAL;JI;60187;ID;Asia/Jakarta;CMLSUKOMANUNGGAL;;;NO;;;;;;;NO;;;
3000001294;CRYSTAL CLEAR CHEMICALS;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000001294;;3000001294;YES;NO;CCC(TO),EXIM_CCC(T;;IDR;NO;No;YES;YES;Allow;Both
3000021212;CV AMINKA KARYA LANGGENG ABADI;ENABLED;JL RAYA JATI NO 59B RT 004 RW 002;;;SIDOARJO;JI;;ID;Asia/Jakarta;3000021212;;41974SOON;YES;YES;AKL_SBY(TR;;IDR;NO;No;YES;YES;Allow;Both
3000016162;CV MANNA ANUGERAH SEJAHTERA;ENABLED;KAWASAN INDUSTRI CANDI BLOK 23/6A;KEC. NGALIYAN;SEMARANG;SEMARANG;JT;50181;ID;Asia/Jakarta;3000016162;;3000016162;YES;NO;MAS_SMG(TR;;IDR;NO;No;YES;NO;Do Not Allow;None
111;CV MEGA MURNI KIMIA;ENABLED;JL A. YANI M 7 - 800 RT 1;MENARAP LAMA - KERTAK HANYAR;BANJAR;BANJAR;KS;70654;ID;Asia/Jakarta;111;;;YES;NO;MMK_SBYTR;;IDR;NO;No;YES;YES;Allow;Both
3000021113;CV. C&R ENVIRO ENGINEERING;ENABLED;JL.GAPERTAN UJUNG KOMP.THE MANSION GAPERTA BLOK B;;;MEDAN HELVETIA;SU;20125;ID;Asia/Jakarta;3000021113;;3000021113;YES;NO;CEE_MDN(TO;;IDR;NO;No;YES;NO;Do Not Allow;None
3000015998;CV. KAYSAR TRANS LOGISTICS;ENABLED;;;;SEMARANG;JT;50211;ID;Asia/Jakarta;3000015998;;3000015998;YES;YES;KTL_SMG(TR;;IDR;NO;No;YES;YES;Do Not Allow;None
3000020728;CV. MEKAR PRATAMA BAN;ENABLED;JL. JEND. SUDIRMAN NO. 311;CIBADAK;ASTANA ANYAR;KOTA BANDUNG;JB;40231;ID;Asia/Jakarta;3000020728;;MKP;YES;NO;MPB(TO);;IDR;NO;No;YES;YES;Allow;Both
3000019455;CV. MITRA MULIA;ENABLED;JL. RING ROAD TIMUR JARANAN NO. 499;RT 011, BANGUNTAPAN;;BANTUL;YO;55198;ID;Asia/Jakarta;3000019455;;3000019455;YES;NO;MMA(TO),MMA_SBYTR;;IDR;NO;No;YES;YES;Allow;Both
3000021274;CV. NATURE AGRO SPICES;ENABLED;JL. WILLIEM ISKANDAR (PANCING) KOMPLEKS MMTC BLOK;;;DELI SERDANG;SU;20371;ID;Asia/Jakarta;3000021274;;3000021274;YES;NO;EXIM_NAS_M;;IDR;NO;No;YES;NO;Do Not Allow;None
3000019439;CV. TIRTA AGUNG;ENABLED;JL. LINGKAR SELATAN NO.189, JEMPONG BARU;KEC. SEKARBELA, KOTA MATARAM;;MATARAM;NB;83361;ID;Asia/Jakarta;3000019439;;3000019439;YES;NO;TAG(TO);;IDR;NO;No;YES;YES;Allow;Both
3000019454;CV. WAHYU JAYA;ENABLED;JL. RAYA KUDUS - PATI KM. 6 RT. 002 / RW. 03;TENGGELES, MEJOBO;;KUDUS;JT;59381;ID;Asia/Jakarta;3000019454;;3000019454;YES;NO;WUJ(TO),WUJ_SBYTRI;;IDR;NO;No;YES;YES;Allow;Both
