2249,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANABOGOR SELATAN"
2250,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANABOGOR TIMUR"
2251,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANABOGOR UTARA"
2252,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJATI SAMPURNA"
2253,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATANGERANG
2254,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAGUNUNG PUTRI"
2255,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAGROGOL PETAMBURAN"
2256,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASETIA BUDI"
2257,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASERPONG UTARA"
2258,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILODONG
2259,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACENGKARENG
2260,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJATINEGARA
2261,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANADUREN SAWIT"
2262,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANARAJEG
2263,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMEGAMENDUNG
2264,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPONDOK GEDE"
2265,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIJERUK
2266,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABABELAN
2267,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG TIMUR"
2268,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPONDOK AREN"
2269,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIOMAS
2270,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIMANGGIS
2271,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR KEMIS"
2272,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIMANGGIS
2273,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKOSAMBI
2274,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACITEUREUP
2275,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIBITUNG
2276,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAPAKUHAJI
2277,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANATARUMAJAYA
2278,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAPAMULANG
2279,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAMULANG
2280,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAPADEMANGAN
2281,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADEMANGAN
2282,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG PUSAT"
2283,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG SELATAN"
2284,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANAH ABANG"
2285,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAGAKARSA
2286,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKARAWACI
2287,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANALEUWILIANG
2288,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJONGGOL
2289,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAMUARA GEMBONG"
2290,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKEMIRI
2291,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACARIU
2292,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANONGAN
2293,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATELUKNAGA
2294,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABENDA
2295,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANABEKASI SELATAN"
2296,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPESANGGRAHAN
2297,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPALMERAH
2298,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPENJARINGAN
2299,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKELAPA GADING"
2300,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG PRIOK"
2301,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATAMBUN UTARA"
2302,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILANDAK
2303,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANAH SEREAL"
2304,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISEENG
2305,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISARUA
2306,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATIGARAKSA
2307,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAMIJAHAN
2308,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMAUK
2309,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIGUDEG
2310,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAGEDANGAN
2311,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADALARANG
2312,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAGUNUNG SINDUR"
2313,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATANJUNGSARI
2314,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABOJONGSARI
2315,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKOSAMBI
2316,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKEDUNG WARINGIN"
2317,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANATEBET
2318,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATEBET
2319,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACENGKARENG
2320,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAMAMPANG PRAPATAN"
2321,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKALIDERES
2322,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACILANDAK
2323,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANATANJUNG PRIOK"
2324,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAGAMBIR
2325,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAGUNUNG PUTRI"
2326,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANASUKARAJA BOGOR"
2327,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANABENDA
2328,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACILEUNGSI
2329,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIPAYUNG
2330,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAKUHAJI
2331,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACAKUNG
2332,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKELAPA DUA TANGERANG"
2333,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKELAPA DUA TANGERANG"
2334,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJATIASIH
2335,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANACIKARANG PUSAT"
2336,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAPAGEDANGAN
2337,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJATINEGARA
2338,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABALARAJA
2339,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJAYANTI
2340,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACISOKA
2341,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISOKA
2342,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAYANTI
