ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
1099;NLSCILEGON;NLSCILEGON;CILEGON;CILEGON;CILEGON;-6,018,682;106,055,822;42435;42416
1114;ILCTELUK JAMBE;ILCTELUK JAMBE;ILCTELUK JAMBE;ILCTELUK JAMBE;ILCTELUK JAMBE;0;0;41360;41361
1146;MYRBANDUNG;MYRBANDUNG;BANDUNG;BANDUNG;BANDUNG;-6,917,464;107,619,123;40298;40112
1189;DANKARAWANG TIMUR;DANKARAWANG TIMUR;KARAWANG TIMUR;KARAWANG TIMUR;KARAWANG TIMUR;-63,054;107,320,233;41326;41371
1200;CMLCIKARANG TIMUR;CMLCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;-629,428;107,187,905;17533;17530
1225;SCGKALIJATI;SCGKALIJATI;KALIJATI;KALIJATI;KALIJATI;0;0;40199;41271
1231;ABCCISARANTEN WETAN;ABCCISARANTEN WETAN;CISARANTEN WETAN;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
1237;SKACAMPAKA;SKACAMPAKA;CAMPAKA;CAMPAKA;PURWAKARTA;0;0;41180;41181
1256;TIVKARAWANG TIMUR;TIVKARAWANG TIMUR;KARAWANG TIMUR;KARAWANG TIMUR;KARAWANG;-63,054;107,320,233;41326;41371
1289;ILCTELUK JAMBE(R1);ILCTELUK JAMBE(R1);TELUK JAMBE(R1);TELUK JAMBE(R1);KARAWANG;0;0;41360;41361
1304;IKPCIKARANG UTARA(R2);IKPCIKARANG UTARA(R2);CIKARANG UTARA(R2);CIKARANG UTARA(R2);CIKARANG;0;0;17534;17530
1356;AMATIGARAKSA;AMATIGARAKSA;TIGARAKSA;TIGARAKSA;TANGERANG;0;0;15721;15720
1358;SCGLEMBANG;SCGLEMBANG;LEMBANG;LEMBANG;LEMBANG;-6,807,465;10,760,553;40791;40391
1380;IKPCIKARANG UTARA(R1);IKPCIKARANG UTARA(R1);CIKARANG UTARA(R1);CIKARANG UTARA(R1);CIKARANG;0;0;17534;17530
1389;SDNWERU;SDNWERU;WERU;WERU;WERU;0;0;45159;45154
1429;SCGJASINGA;SCGJASINGA;JASINGA;JASINGA;JASINGA;-6,481,353;106,466,619;16672;16670
